id,folder,title,date,reason,post_score,img_score,post_title_suggested,post_url_suggested
67,2008-12-30 Roosevelt Expedition - India 1920s,Roosevelt Expedition - India 1920s,2008-12-30,post_low_confidence,0.471,,Seeta Devi and Himansu Rai in Prem Sanyas - 1925,https://www.oldindianphotos.in/2008/12/seeta-devi-and-himansu-rai.html
68,2008-12-30 Srinagar Hindu Temple Taks-I-Suliman,Srinagar Hindu Temple Taks-I-Suliman,2008-12-30,post_low_confidence,0.439,,South Indian Temple - c1880's,https://www.oldindianphotos.in/2012/12/south-indian-temple-c1880s.html
71,"2009-01-18 Country shoe makers, probably in Western India 1873","Country shoe makers, probably in Western India 1873",2009-01-18,post_low_confidence,0.360,,Times of India Employees - November 1898,https://www.oldindianphotos.in/2009/01/times-of-india-employees-november-1898.html
72,"2009-01-18 Dyers at work, Western India 1873","Dyers at work, Western India 1873",2009-01-18,post_low_confidence,0.386,,Times of India Employees - November 1898,https://www.oldindianphotos.in/2009/01/times-of-india-employees-november-1898.html
74,"2009-01-18 The Kampani ka kot'hi (the East India Company factory) in Painam, Sonargaon, Bengal","The Kampani ka kot'hi (the East India Company factory) in Painam, Sonargaon, Bengal",2009-01-18,post_low_confidence,0.440,,Vintage Photograph of Durga Puja (A Religious Festival of Bengal) - Late 19th or Early 20th Century,https://www.oldindianphotos.in/2009/01/durga-puja.html
75,"2009-01-18 Women gathering cowdung, Ahmadabad","Women gathering cowdung, Ahmadabad",2009-01-18,post_low_confidence,0.450,,Women working in a Garbage Dumping Ground - Calcutta (Kolkata) December 1970,https://www.oldindianphotos.in/2009/04/residents-of-calcutta-kolkata-working.html
76,2009-01-18 Worker preparing thread for sari weaving 1870s,Worker preparing thread for sari weaving 1870s,2009-01-18,post_low_confidence,0.474,,Sangar View from Fort Frith - 1870s,https://www.oldindianphotos.in/2009/11/sangar-view-from-fort-frith-1870s.html
79,"2009-01-22 Tapiwalis, Bombay, photographed by Cambridge and Company - 1890's","Tapiwalis, Bombay, photographed by Cambridge and Company - 1890's 1890",2009-01-22,post_low_confidence,0.426,,Times of India Employees - November 1898,https://www.oldindianphotos.in/2009/01/times-of-india-employees-november-1898.html
80,2009-01-22 Tea Pickers of Columbo Srilanka - 1880's,Tea Pickers of Columbo Srilanka - 1880's 1880,2009-01-22,post_low_confidence,0.364,,Group of Fakirs in Costume - Afganistan 1880,https://www.oldindianphotos.in/2009/03/group-of-fakirs-in-costume-afganistan.html
81,"2009-01-22 The Manager & group of coolies, Manabarrie Tea Estate, Dooars, Terai - 1880's","The Manager & group of coolies, Manabarrie Tea Estate, Dooars, Terai - 1880's 1880",2009-01-22,post_low_confidence,0.377,,Group of Fakirs in Costume - Afganistan 1880,https://www.oldindianphotos.in/2009/03/group-of-fakirs-in-costume-afganistan.html
82,"2009-01-22 Woman at a spinning wheel, a silver gelatin photograph, c.1890's","Woman at a spinning wheel, a silver gelatin photograph, c.1890's 1890",2009-01-22,post_low_confidence,0.406,,Young Woman Street Vendor Holding Measuring Scales- Photographed by W.H. Jackson in 1895,https://www.oldindianphotos.in/2009/01/young-woman-street-vendor-by-wh-jackson.html
83,2009-01-22 Women clearing weeds - 1895,Women clearing weeds 1895,2009-01-22,post_low_confidence,0.439,,Nepalese woman in 1940,https://www.oldindianphotos.in/2009/04/nepalese-woman-in-1940.html
84,"2009-01-23 Ayahs (Indian Maidservant) an albumen photo, c.1880's","Ayahs (Indian Maidservant) an albumen photo, c.1880's 1880",2009-01-23,post_low_confidence,0.406,,Indian Servant Serving Tea - Early 20th Century,https://www.oldindianphotos.in/2009/01/indian-servant-serving-tea.html
85,2009-01-23 Dinner Time - 1890's,Dinner Time - 1890's 1890,2009-01-23,post_low_confidence,0.380,,Indian Beggars 1940,https://www.oldindianphotos.in/2009/01/indian-beggars-1940.html
86,"2009-01-23 Milk-woman, a studio photograph, late 1800's or early 1900's","Milk-woman, a studio photograph, late 1800's or early 1900's 1800",2009-01-23,post_low_confidence,0.432,,Vintage Photograph of Durga Puja (A Religious Festival of Bengal) - Late 19th or Early 20th Century,https://www.oldindianphotos.in/2009/01/durga-puja.html
88,"2009-01-23 Saburmatee River, Ahmedabad -- women washing clothes, late 1800's or early 1900's","Saburmatee River, Ahmedabad -- women washing clothes, late 1800's or early 1900's 1800",2009-01-23,post_low_confidence,0.421,,Women working in a Garbage Dumping Ground - Calcutta (Kolkata) December 1970,https://www.oldindianphotos.in/2009/04/residents-of-calcutta-kolkata-working.html
89,2009-01-23 Spinning in India - 1900's,Spinning in India - 1900's 1900,2009-01-23,post_low_confidence,0.416,,Royals of India,https://www.oldindianphotos.in/2009/10/royals-of-india.html
90,2009-01-23 Spinning in India - 1900's,Spinning in India - 1900's 1900,2009-01-23,post_low_confidence,0.416,,Royals of India,https://www.oldindianphotos.in/2009/10/royals-of-india.html
91,"2009-01-23 Tea-pickers, a photo from the 1930's","Tea-pickers, a photo from the 1930's 1930",2009-01-23,post_low_confidence,0.469,,View on approaching Lahore from the west - 1908,https://www.oldindianphotos.in/2009/01/view-on-approaching-lahore-from-west.html
92,"2009-01-23 Women participating in road maintenance work, a photo by R. Howard from 1918 (place unknown)","Women participating in road maintenance work, a photo by R. Howard from 1918 (place unknown) 1918",2009-01-23,post_low_confidence,0.429,,Women working in a Garbage Dumping Ground - Calcutta (Kolkata) December 1970,https://www.oldindianphotos.in/2009/04/residents-of-calcutta-kolkata-working.html
93,"2009-01-23 Women porters, Madras,  a photo from c. the 1920's","Women porters, Madras, a photo from c. the 1920's 1920",2009-01-23,post_low_confidence,0.468,,Women working in a Garbage Dumping Ground - Calcutta (Kolkata) December 1970,https://www.oldindianphotos.in/2009/04/residents-of-calcutta-kolkata-working.html
95,2009-01-24 Animal Sacrifice in India - Various Photographs,Animal Sacrifice in India - Various Photographs,2009-01-24,post_low_confidence,0.490,,British in India - Various - Part 5,https://www.oldindianphotos.in/2009/10/british-in-india-various-2.html
96,2009-01-24 Animal Sacrifice in India - Various Photographs,Animal Sacrifice in India - Various Photographs,2009-01-24,post_low_confidence,0.490,,British in India - Various - Part 5,https://www.oldindianphotos.in/2009/10/british-in-india-various-2.html
97,2009-01-24 Animal Sacrifice in India - Various Photographs,Animal Sacrifice in India - Various Photographs,2009-01-24,post_low_confidence,0.490,,British in India - Various - Part 5,https://www.oldindianphotos.in/2009/10/british-in-india-various-2.html
98,2009-01-24 Animal Sacrifice in India - Various Photographs,Animal Sacrifice in India - Various Photographs,2009-01-24,post_low_confidence,0.490,,British in India - Various - Part 5,https://www.oldindianphotos.in/2009/10/british-in-india-various-2.html
99,"2009-01-24 Bhubaneswar  a Sadhu in front of his cell, a photogravure from a German art book, 1928","Bhubaneswar a Sadhu in front of his cell, a photogravure from a German art book 1928",2009-01-24,post_low_confidence,0.402,,Hindu Sadhus Various Images Part - 2,https://www.oldindianphotos.in/2009/05/hindu-sadhus-various-images-part-2.html
127,2009-02-01 Dhobie (washerman) Ironing - 1870,Dhobie (washerman) Ironing 1870,2009-02-01,post_low_confidence,0.385,,"Bijay Sen, Raja of Mandi 1870",https://www.oldindianphotos.in/2009/11/bijay-sen-raja-of-mandi-1870.html
128,2009-02-01 Hill coolies with dandy & Kilta - 1863,Hill coolies with dandy & Kilta 1863,2009-02-01,post_low_confidence,0.351,,British Bungalow with Servants - 1870s,https://www.oldindianphotos.in/2009/11/british-bungalow-with-servants-1870s.html
129,2009-02-01 Hindu Sadhu - 1870,Hindu Sadhu 1870,2009-02-01,post_low_confidence,0.464,,Indian Beggars 1940,https://www.oldindianphotos.in/2009/01/indian-beggars-1940.html
130,2009-02-02 Reeta Roy - Miss International Air Hostess 1964,Reeta Roy - Miss International Air Hostess 1964,2009-02-02,post_low_confidence,0.328,,"Urdha-Bahu Sannyasi, Eastern Bengal - 1860's",https://www.oldindianphotos.in/2009/02/urdha-bahu-sannyasi-eastern-bengal-1860.html
132,2009-02-05 View of a cricket match in progress on the sports ground at Naini Tal - 1885,View of a cricket match in progress on the sports ground at Naini Tal 1885,2009-02-05,post_low_confidence,0.380,,"General view of the Government Normal School, Varanasi (Benares), with pupil-teachers leaving the school to go to their barracks - 1870",https://www.oldindianphotos.in/2009/02/general-view-of-government-normal.html
136,2009-02-15 View in Barrackpore Park - Government House Walk 1865,View in Barrackpore Park - Government House Walk 1865,2009-02-15,post_low_confidence,0.413,,"The Maidan, Calcutta, from Government House - 1860s",https://www.oldindianphotos.in/2009/09/maidan-calcutta-from-government-house.html
139,"2009-02-19 Palace of the Maharajah Chat Singh, Ramnagar, Benares (Varanasi) - 1880","Palace of the Maharajah Chat Singh, Ramnagar, Benares (Varanasi) 1880",2009-02-19,post_low_confidence,0.400,,"Manikarnika Burning Ghat - Benares (Varanasi), 1865",https://www.oldindianphotos.in/2009/02/burning-ghat-benares-varanasi-1865.html
145,"2009-02-22 Calcutta [Kolkata] river  view, with sailing ships - 1880s","Calcutta [Kolkata] river view, with sailing ships 1880s",2009-02-22,post_low_confidence,0.485,,"Kidderpore Dock No one - Kolkata - looking towards River, showing temporary railway lines for removal of spoil",https://www.oldindianphotos.in/2009/09/kidderpore-dock-no-one-kolkata-looking.html
146,"2009-02-22 Calcutta [Kolkata] river  view, with sailing ships - 1880s","Calcutta [Kolkata] river view, with sailing ships 1880s",2009-02-22,post_low_confidence,0.485,,"Kidderpore Dock No one - Kolkata - looking towards River, showing temporary railway lines for removal of spoil",https://www.oldindianphotos.in/2009/09/kidderpore-dock-no-one-kolkata-looking.html
147,"2009-02-22 Calcutta [Kolkata] river  view, with sailing ships - 1880s","Calcutta [Kolkata] river view, with sailing ships 1880s",2009-02-22,post_low_confidence,0.485,,"Kidderpore Dock No one - Kolkata - looking towards River, showing temporary railway lines for removal of spoil",https://www.oldindianphotos.in/2009/09/kidderpore-dock-no-one-kolkata-looking.html
150,2009-03-02 Calcutta (Kolkata): Man in Costume by Rath of Jagannath (Vishnu),Calcutta (Kolkata): Man in Costume by Rath of Jagannath (Vishnu),2009-03-02,post_low_confidence,0.474,,The Jagannath Bathing Ghat - Calcutta (Kolkata) 1937,https://www.oldindianphotos.in/2009/02/jagannath-bathing-ghat-calcutta.html
164,"2009-03-03 Afghani Men in Costume Near Dome-Covered Shops at Char Su (""Four Rivers""), Center of City - 1880","Afghani Men in Costume Near Dome-Covered Shops at Char Su (""Four Rivers""), Center of City 1880",2009-03-03,post_low_confidence,0.405,,Afghani Men Outside Tents - 1878,https://www.oldindianphotos.in/2009/03/afghani-men-outside-tents-1878.html
166,"2009-03-04 Pashtun Man Outside Governor's Zenana (Women's Quarters), Lately Used as Darbar -1880","Pashtun Man Outside Governor's Zenana (Women's Quarters), Lately Used as Darbar 1880",2009-03-04,post_low_confidence,0.382,,Afghani Men Outside Tents - 1878,https://www.oldindianphotos.in/2009/03/afghani-men-outside-tents-1878.html
168,"2009-03-04 Pashtun Men in Costume, Including Governor and Deputy Governor, Outside Governor's Compound - 1880","Pashtun Men in Costume, Including Governor and Deputy Governor, Outside Governor's Compound 1880",2009-03-04,post_low_confidence,0.430,,Group of Pashtun Men and Boys - Afganistan 1880s,https://www.oldindianphotos.in/2009/03/group-of-pashtun-men-and-boys.html
169,2009-03-04 Shahzada Sultan Jan (Third from Left) and Mahomed Nyat Khan (Center) with Nawabs in Costume Outside Stucco Building - 1878,Shahzada Sultan Jan (Third from Left) and Mahomed Nyat Khan (Center) with Nawabs in Costume Outside Stucco Building 1878,2009-03-04,post_low_confidence,0.380,,Assamese Tea House Children in Costume Outside Wood-Slat Building With Canopied Roof,https://www.oldindianphotos.in/2009/07/assamese-tea-house-children-in-costume.html
210,2009-03-28 Bombay (Mumbai) Back Bay 1870,Bombay (Mumbai) Back Bay 1870,2009-03-28,post_low_confidence,0.464,,"Sir Cowasjee Jehangir Building, Elphinstone College, Bombay (Mumbai) - c1870's",https://www.oldindianphotos.in/2009/03/elphinstone-college-bombay-mumbai-1870.html
212,2009-03-28 [Bombay Harbour] Docks 1870,[Bombay Harbour] Docks 1870,2009-03-28,post_low_confidence,0.466,,"Sir Cowasjee Jehangir Building, Elphinstone College, Bombay (Mumbai) - c1870's",https://www.oldindianphotos.in/2009/03/elphinstone-college-bombay-mumbai-1870.html
213,2009-03-29 Bombay University buildings 1877,Bombay University buildings 1877,2009-03-29,post_low_confidence,0.479,,"Sir Cowasjee Jehangir Building, Elphinstone College, Bombay (Mumbai) - c1870's",https://www.oldindianphotos.in/2009/03/elphinstone-college-bombay-mumbai-1870.html
218,"2009-04-05 Afghan Memorial, Colaba Church, Bombay (Mumbai) 1890s","Afghan Memorial, Colaba Church, Bombay (Mumbai) 1890s",2009-04-05,post_low_confidence,0.488,,Interior of the Afghan Memorial Church of St. John the Baptist in Bombay (Mumbai) - c1890,https://www.oldindianphotos.in/2014/12/interior-of-afghan-memorial-church-of.html
219,2009-04-05 Bombay (Mumbai) Green of 1862,Bombay (Mumbai) Green of 1862,2009-04-05,post_low_confidence,0.417,,Prince of Wales Museum - Bombay (Mumbai),https://www.oldindianphotos.in/2009/12/prince-of-wales-museum-bombay-mumbai.html
220,2009-04-05 General view of Bombay (Mumbai) 1881,General view of Bombay (Mumbai) 1881,2009-04-05,post_low_confidence,0.450,,Prince of Wales Museum - Bombay (Mumbai),https://www.oldindianphotos.in/2009/12/prince-of-wales-museum-bombay-mumbai.html
272,"2009-04-17 Missionary's wife with indigenous Christians, Trivandrum, India, ca.1900-1910","Missionary's wife with indigenous Christians, Trivandrum, India, ca.1900-1910 1900",2009-04-17,post_low_confidence,0.317,,Carring a Pilgrim in Himalaya - 1938,https://www.oldindianphotos.in/2009/04/carring-pilgrim-in-himalaya-1938.html
276,2009-04-25 Himalayan Beauty - 1938,Himalayan Beauty 1938,2009-04-25,post_low_confidence,0.457,,Carring a Pilgrim in Himalaya - 1938,https://www.oldindianphotos.in/2009/04/carring-pilgrim-in-himalaya-1938.html
284,2009-04-26 Filming of Indian movie Aashiq in R.K. Studios - September 1961,Filming of Indian movie Aashiq in R.K. Studios - September 1961,2009-04-26,post_low_confidence,0.344,,Group Photograph of Indian Classical Music Masters - 1948,https://www.oldindianphotos.in/2009/01/music-masters-in-1948.html
285,2009-04-26 Indian Prime Minister Jawaharlal Nehru with British Prime Minister Harold MacMillan - 1960,Indian Prime Minister Jawaharlal Nehru with British Prime Minister Harold MacMillan 1960,2009-04-26,post_low_confidence,0.393,,Indian Prime Minister Jawaharlal Nehru with his grandsons Rajiv and Sanjay Gandhi - 1950,https://www.oldindianphotos.in/2012/01/indian-prime-minister-jawaharlal-nehru.html
286,2009-04-26 Indian Prime Minister Jawaharlal Nehru with British Prime Minister Harold MacMillan - 1960,Indian Prime Minister Jawaharlal Nehru with British Prime Minister Harold MacMillan 1960,2009-04-26,post_low_confidence,0.393,,Indian Prime Minister Jawaharlal Nehru with his grandsons Rajiv and Sanjay Gandhi - 1950,https://www.oldindianphotos.in/2012/01/indian-prime-minister-jawaharlal-nehru.html
287,2009-04-26 Production of an Indian movie at Bombay studio - 1961,Production of an Indian movie at Bombay studio 1961,2009-04-26,post_low_confidence,0.473,,Prince of Wales Museum - Bombay (Mumbai),https://www.oldindianphotos.in/2009/12/prince-of-wales-museum-bombay-mumbai.html
884,2010-06-21 Botanical Gardens Great Banian Tree Second View - Howrah - Mid 19th Century,Botanical Gardens Great Banian Tree Second View - Howrah - Mid 19th Century,2010-06-21,post_low_confidence,0.500,,Eden Gardens Pagoda Calcutta (Kolkata) - Mid 19th Century,https://www.oldindianphotos.in/2010/06/eden-gardens-pagoda-calcutta-kolkata.html
896,2010-06-25 Introducing Old Indian Arts,Introducing Old Indian Arts,2010-06-25,post_low_confidence,0.393,,Portrait of Indian Ethnic Women,https://www.oldindianphotos.in/2010/11/indian-ethnic-women.html
901,"2010-07-04 Laxmi Vilas Palace, Baroda - 1890","Laxmi Vilas Palace, Baroda 1890",2010-07-04,post_low_confidence,0.476,,Maharajah Sayaji Rao Gaekwar of Baroda - 1875,https://www.oldindianphotos.in/2010/07/maharajah-sayaji-rao-gaekwar-of-baroda.html
902,2010-07-04 Library at Lakshmi Vilas Palace in Baroda - 1895,Library at Lakshmi Vilas Palace in Baroda 1895,2010-07-04,post_low_confidence,0.491,,Maharajah Sayaji Rao Gaekwar of Baroda - 1875,https://www.oldindianphotos.in/2010/07/maharajah-sayaji-rao-gaekwar-of-baroda.html
904,"2010-07-04 Old & new Palace, Makarpura, Baroda - 1890","Old & new Palace, Makarpura, Baroda 1890",2010-07-04,post_low_confidence,0.478,,The Gaekwar of Baroda Sir Sayaji Rao - 1880,https://www.oldindianphotos.in/2010/07/portrait-of-sir-sayaji-rao-gaekwar-of.html
905,"2010-07-04 Side view, Makarpura Palace, Baroda - 1890","Side view, Makarpura Palace, Baroda 1890",2010-07-04,post_low_confidence,0.480,,Maharajah Sayaji Rao Gaekwar of Baroda - 1875,https://www.oldindianphotos.in/2010/07/maharajah-sayaji-rao-gaekwar-of-baroda.html
906,2010-07-04 State Library at Baroda - 1895,State Library at Baroda 1895,2010-07-04,post_low_confidence,0.484,,The Gaekwar of Baroda Sir Sayaji Rao - 1880,https://www.oldindianphotos.in/2010/07/portrait-of-sir-sayaji-rao-gaekwar-of.html
909,2010-07-04 Zenana ( Girls) school at Baroda - 1895,Zenana ( Girls) school at Baroda 1895,2010-07-04,post_low_confidence,0.482,,The Gaekwar of Baroda Sir Sayaji Rao - 1880,https://www.oldindianphotos.in/2010/07/portrait-of-sir-sayaji-rao-gaekwar-of.html
910,"2010-07-05 A small carrirge, driven by Deer - Baroda 1895","A small carrirge, driven by Deer - Baroda 1895",2010-07-05,post_low_confidence,0.480,,Maharajah Sayaji Rao Gaekwar of Baroda - 1875,https://www.oldindianphotos.in/2010/07/maharajah-sayaji-rao-gaekwar-of-baroda.html
911,2010-07-05 Camels at Baroda - 1895,Camels at Baroda 1895,2010-07-05,post_low_confidence,0.467,,The Gaekwar of Baroda Sir Sayaji Rao - 1880,https://www.oldindianphotos.in/2010/07/portrait-of-sir-sayaji-rao-gaekwar-of.html
912,2010-07-05 Chimnabai Tower - Baroda 1895,Chimnabai Tower - Baroda 1895,2010-07-05,post_low_confidence,0.466,,The Gaekwar of Baroda Sir Sayaji Rao - 1880,https://www.oldindianphotos.in/2010/07/portrait-of-sir-sayaji-rao-gaekwar-of.html
913,2010-07-05 Palace at Makarpura (west) at Baroda - 1895,Palace at Makarpura (west) at Baroda 1895,2010-07-05,post_low_confidence,0.478,,Maharajah Sayaji Rao Gaekwar of Baroda - 1875,https://www.oldindianphotos.in/2010/07/maharajah-sayaji-rao-gaekwar-of-baroda.html
914,"2010-07-05 Palace at Makarpura, Zenana Porch - Baroda 1895","Palace at Makarpura, Zenana Porch - Baroda 1895",2010-07-05,post_low_confidence,0.478,,Maharajah Sayaji Rao Gaekwar of Baroda - 1875,https://www.oldindianphotos.in/2010/07/maharajah-sayaji-rao-gaekwar-of-baroda.html
915,2010-07-05 Silver Zenana carriage - Baroda 1895,Silver Zenana carriage - Baroda 1895,2010-07-05,post_low_confidence,0.470,,Maharajah Sayaji Rao Gaekwar of Baroda - 1875,https://www.oldindianphotos.in/2010/07/maharajah-sayaji-rao-gaekwar-of-baroda.html
916,2010-07-08 Chimnabai Nyaya Mandir or High Court at Baroda - 1890's,Chimnabai Nyaya Mandir or High Court at Baroda - 1890's 1890,2010-07-08,post_low_confidence,0.473,,Maharajah Sayaji Rao Gaekwar of Baroda - 1875,https://www.oldindianphotos.in/2010/07/maharajah-sayaji-rao-gaekwar-of-baroda.html
917,"2010-07-08 Chimnabai Nyaya Mandir, SE view - Baroda 1895","Chimnabai Nyaya Mandir, SE view - Baroda 1895",2010-07-08,post_low_confidence,0.497,,Maharajah Sayaji Rao Gaekwar of Baroda - 1875,https://www.oldindianphotos.in/2010/07/maharajah-sayaji-rao-gaekwar-of-baroda.html
918,2010-07-08 Golden carriage - Baroda 1895,Golden carriage - Baroda 1895,2010-07-08,post_low_confidence,0.482,,Maharajah Sayaji Rao Gaekwar of Baroda - 1875,https://www.oldindianphotos.in/2010/07/maharajah-sayaji-rao-gaekwar-of-baroda.html
922,"2010-07-08 New Palace at Makarpura, Darbar Hall - Baroda 1895","New Palace at Makarpura, Darbar Hall - Baroda 1895",2010-07-08,post_low_confidence,0.481,,Maharajah Sayaji Rao Gaekwar of Baroda - 1875,https://www.oldindianphotos.in/2010/07/maharajah-sayaji-rao-gaekwar-of-baroda.html
923,"2010-07-08 New and old Palaces at Makarpura, back view  - Baroda 1895","New and old Palaces at Makarpura, back view - Baroda 1895",2010-07-08,post_low_confidence,0.453,,The Gaekwar of Baroda Sir Sayaji Rao - 1880,https://www.oldindianphotos.in/2010/07/portrait-of-sir-sayaji-rao-gaekwar-of.html
924,2010-07-08 New and old palaces at Makarpura in distance - Baroda 1895,New and old palaces at Makarpura in distance - Baroda 1895,2010-07-08,post_low_confidence,0.451,,The Gaekwar of Baroda Sir Sayaji Rao - 1880,https://www.oldindianphotos.in/2010/07/portrait-of-sir-sayaji-rao-gaekwar-of.html
925,2010-07-08 Silver Zenana carriage ( Second View ) - Baroda 1895,Silver Zenana carriage ( Second View ) - Baroda 1895,2010-07-08,post_low_confidence,0.453,,Maharajah Sayaji Rao Gaekwar of Baroda - 1875,https://www.oldindianphotos.in/2010/07/maharajah-sayaji-rao-gaekwar-of-baroda.html
926,2010-08-06 Dhera Khan's Tomb Ahmedabad - 1880,Dhera Khan's Tomb Ahmedabad 1880,2010-08-06,post_low_confidence,0.399,,"Shaikh Hasan Muhammad Chishti's Tomb (Shahpur Mosque), Shahapur, Ahmadabad, Gujarat - 1885",https://www.oldindianphotos.in/2015/07/shaikh-hasan-muhammad-chishtis-tomb.html
927,2010-08-06 Group of Fakeers -  Jumalpore Ahmedabad - 1880,Group of Fakeers - Jumalpore Ahmedabad 1880,2010-08-06,post_low_confidence,0.370,,Group of Men with a Cage - Sri Lanka 1890s,https://www.oldindianphotos.in/2010/12/group-of-men-with-cage-sri-lanka-1890s.html
928,"2010-08-06 Huttising's Jain Temple, Camp Road, Ahmedabad - 1880","Huttising's Jain Temple, Camp Road, Ahmedabad 1880",2010-08-06,post_low_confidence,0.479,,"Entrance to Golden Temple, Amritsar - 1870",https://www.oldindianphotos.in/2010/06/entrance-to-golden-temple-amritsar-1870.html
929,2010-08-06 Jumma Mosque Ahmedabad - 1880,Jumma Mosque Ahmedabad 1880,2010-08-06,post_low_confidence,0.498,,"Tomb and mosque of Panch Pir, Sonargaon - 1872",https://www.oldindianphotos.in/2010/06/tomb-and-mosque-of-panch-pir-sonargaon.html
